TJ ID,API Endpoint,Scenario,Testing Objective,Thread Config,Input / Params,Expected Output,TC Type,Check Response,Duration Assert,Notes / Techniques,Result
TJ-J001,GET /api/health,Smoke / Load / Stress,Kiểm tra server hoạt động baseline performance,"Smoke 1u/1l | Load 50u/10l | Stress 200u/5l",None,"200, {""status"":""ok""}",Positive,Response Code = 200,"≤2000ms (Smoke/Load), ≤5000ms (Stress)","Endpoint đơn giản nhất dùng làm baseline. Avg 27ms (Smoke), 6ms (Load), 2ms (Stress)",✅ PASS – 0% error
TJ-J002,GET /api/home,Smoke / Load / Stress,Đánh giá hiệu năng trang chủ (6 query DB đồng thời),"Smoke 1u/1l | Load 50u/10l | Stress 200u/5l",None,"200, JSON {stats, banners, events, news, admissions, enterprises, facultyInfo}",Positive,Response Code = 200,"≤2000ms (Smoke/Load), ≤5000ms (Stress)","Endpoint nặng nhất – 6 query DB. Avg 5ms (Smoke), 134ms (Load), 26ms (Stress). Max 2142ms (Load) – gần ngưỡng 2s",⚠️ PASS – 0.4% error (Load) do Duration Assert > 2s
TJ-J003,GET /api/news,Smoke / Load / Stress,Kiểm tra hiệu năng đọc danh sách tin tức (TC142),"Smoke 1u/1l | Load 50u/10l | Stress 200u/5l",None,"200, JSON array",Positive,Response Code = 200,"≤2000ms (Smoke/Load), ≤5000ms (Stress)","crudFactory GET /. Avg 4ms (Smoke), 44ms (Load), 10ms (Stress). Max 1030ms (Load)",✅ PASS – 0% error
TJ-J004,GET /api/events,Smoke / Load / Stress,Kiểm tra hiệu năng đọc danh sách sự kiện (TC144),"Smoke 1u/1l | Load 50u/10l | Stress 200u/5l",None,"200, JSON array",Positive,Response Code = 200,"≤2000ms (Smoke/Load), ≤5000ms (Stress)","crudFactory GET /. Avg 3ms (Smoke), 31ms (Load), 9ms (Stress)",✅ PASS – 0% error
TJ-J005,GET /api/recruitment,Smoke / Load / Stress,Kiểm tra hiệu năng đọc danh sách tuyển dụng (TC148),"Smoke 1u/1l | Load 50u/10l | Stress 200u/5l",None,"200, JSON array",Positive,Response Code = 200,"≤2000ms (Smoke/Load), ≤5000ms (Stress)","crudFactory GET /. Avg 2ms (Smoke), 15ms (Load), 4ms (Stress)",✅ PASS – 0% error
TJ-J006,GET /api/departments,Smoke / Load / Stress,Kiểm tra hiệu năng đọc danh sách bộ môn (TC156),"Smoke 1u/1l | Load 50u/10l | Stress 200u/5l",None,"200, JSON array (kèm lecturers)",Positive,Response Code = 200,"≤2000ms (Smoke/Load), ≤5000ms (Stress)","Custom route với JOIN lecturers. Avg 5ms (Smoke), 58ms (Load), 16ms (Stress). Max 363ms",✅ PASS – 0% error
TJ-J007,GET /api/majors,Smoke / Load,Kiểm tra hiệu năng đọc danh sách ngành (TC168),Smoke 1u/1l | Load 50u/10l,None,"200, JSON array",Positive,Response Code = 200,≤2000ms,"crudFactory GET /. Avg 2ms (Smoke), 17ms (Load)",✅ PASS – 0% error
TJ-J008,GET /api/banners,Smoke,Kiểm tra hiệu năng đọc danh sách banner,Smoke 1u/1l,None,"200, JSON array",Positive,Response Code = 200,≤2000ms,crudFactory GET /. Avg 2ms,✅ PASS – 0% error
TJ-J009,GET /api/enterprises,Smoke,Kiểm tra hiệu năng đọc danh sách doanh nghiệp,Smoke 1u/1l,None,"200, JSON array",Positive,Response Code = 200,≤2000ms,crudFactory GET /. Avg 1ms,✅ PASS – 0% error
TJ-J010,GET /api/news?page=1&limit=10,Smoke / Load / Stress,Kiểm tra hiệu năng phân trang (TC174),"Smoke 1u/1l | Load 50u/10l | Stress 200u/5l","page=1, limit=10","200, JSON {data:[], pagination:{page,limit,total,totalPages}}",Positive,Response Code = 200,"≤2000ms (Smoke/Load), ≤5000ms (Stress)","crudFactory pagination. Avg 3ms (Smoke), 53ms (Load), 15ms (Stress). Max 548ms",✅ PASS – 0% error
TJ-J011,"Login → Create → Update → Delete /api/news",Smoke / Load / Stress,"Kiểm tra CRUD news dưới tải với auth token (TC138/TC140/TC141)","Smoke 1u/1l | Load 50u/10l | Stress 200u/5l","Login: {email,password}; Create: {title,summary,content}; Update: {title}; Delete: /:id","Login→200+token; Create→201; Update→200; Delete→200",Positive,"Response Code = 200/201; JSONPostProcessor extract token & id","≤2000ms (Smoke/Load), ≤5000ms (Stress)","OnceOnlyController cho login. bcrypt hash ~75ms (Smoke), ~139ms (Load), ~78ms (Stress). Create avg 16-100ms. Update avg 17-108ms. Delete avg 13-66ms. Connection pool 10 conn → bottleneck dưới tải cao. Load test: 1% error PUT (Duration > 2s), 0.8% error DELETE, 0.4% error POST",⚠️ PARTIAL – Smoke PASS | Load 0.4-1% error (DB write contention) | Stress PASS
